,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,42,1994-95,00,1610612752,NYK,23.0,41,23,503.0,60,133,0.451,0,8,0.0,17,38,0.447,42,56,98,49,20,4,41,87,137
1,42,1995-96,00,1610612752,NYK,24.0,14,0,62.0,7,22,0.318,0,0,0.0,5,8,0.625,9,8,17,4,2,0,5,9,19
2,42,1995-96,00,1610612759,SAN,24.0,17,0,122.0,20,46,0.435,0,1,0.0,9,12,0.75,11,12,23,4,4,2,13,17,49
3,42,1995-96,00,0,TOT,24.0,31,0,184.0,27,68,0.397,0,1,0.0,14,20,0.7,20,20,40,8,6,2,18,26,68
4,42,1996-97,00,1610612759,SAS,25.0,65,26,1347.0,234,460,0.509,0,1,0.0,120,186,0.645,98,108,206,91,55,52,116,161,588
5,42,1997-98,00,1610612759,SAS,26.0,72,16,1314.0,165,368,0.448,1,2,0.5,122,182,0.67,67,112,179,89,34,24,82,133,453
6,42,1998-99,00,1610612743,DEN,27.0,1,0,6.0,0,2,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1
7,42,1999-00,00,1610612753,ORL,28.0,75,23,1501.0,263,538,0.489,2,5,0.4,123,166,0.741,96,154,250,106,46,17,109,187,651
8,42,2000-01,00,1610612753,ORL,29.0,82,0,1209.0,162,364,0.445,1,13,0.077,85,133,0.639,86,157,243,79,29,16,85,136,410
9,42,2001-02,00,1610612753,ORL,30.0,68,19,1285.0,198,362,0.547,0,4,0.0,88,134,0.657,80,155,235,96,49,17,86,134,484
10,42,2002-03,00,1610612755,PHI,31.0,21,2,277.0,34,80,0.425,0,2,0.0,24,32,0.75,12,33,45,26,12,5,17,33,92
